id,flights,city,country
761,8,Manzanillo,Others
762,8,Montevideo,Others
763,8,North Eleuthera,Others
764,8,Odessa,Others
765,8,Omsk,Others
766,8,Podgorica,Others
767,8,Port Hedland,Others
768,8,Puebla,Others
769,8,Queretaro,Others
770,8,Rijeka,Others
771,8,Rio Negro,Others
772,8,Samara,Others
773,8,Samos,Others
774,8,San Luis Potosi,Others
775,8,Simferopol,Others
776,8,Szczecin,Others
777,8,Tampico,Others
778,8,Ufa,Others
779,8,Ulan-ude,Others
780,8,Varadero,Others
781,8,Wellington,Others
782,8,Dandong,China
783,8,Fuyang,China
784,8,Hotan,China
785,8,Huai An,China
786,8,Jiujiang,China
787,8,Manzhouli,China
788,8,Meixian,China
789,8,Quzhou,China
790,8,Ulanhot,China
791,8,Yichun,China
792,8,Paderborn,Germany
793,8,Melilla,Spain
794,8,Parma,Italy
795,8,Perugia,Italy
796,8,Nimes,France
797,8,Poitiers,France
798,7,Acapulco,Others
799,7,Christchurch,Others
800,7,Nouakschott,Others
801,7,Tripoli,Others
802,6,Arcata CA,US
803,6,Branson,US
804,6,Brownsville,US
805,6,Brunswick,US
806,6,College Station,US
807,6,Columbus Mississippi,US
808,6,Dothan,US
809,6,Fairbanks,US
810,6,Farmington,US
811,6,Gillette,US
812,6,Gwinn,US
813,6,La Crosse,US
814,6,Lake Charles,US
815,6,Laredo,US
816,6,Lincoln,US
817,6,Mcallen,US
818,6,Newburgh,US
819,6,Rock Springs,US
820,6,Sitka,US
821,6,Tyler,US
822,6,Valdosta,US
823,6,Yuma,US
824,6,Adana,Others
825,6,Alanya,Others
826,6,Anapa,Others
827,6,Arequipa,Others
828,6,Asahikawa,Others
829,6,Astrakhan,Others
830,6,Baghdad,Others
831,6,Banjul,Others
832,6,Belo Horizonte,Others
833,6,Boa Vista,Others
834,6,Brazzaville,Others
835,6,Bydgoszcz,Others
836,6,Charlottetown,Others
837,6,Ciudad Obregon,Others
838,6,Dhaka,Others
839,6,Diyabakir,Others
840,6,Donetsk,Others
841,6,Durban,Others
842,6,Elazig,Others
843,6,Erbil,Others
844,6,Erzurum,Others
845,6,Gander,Others
846,6,Gaziantep,Others
847,6,Gibraltar,Others
848,6,Gladstone,Others
849,6,Hatay,Others
850,6,Innsbruck,Others
851,6,Isle Of Man,Others
852,6,Karachi,Others
853,6,Kars,Others
854,6,Khartoum,Others
855,6,Klagenfurt,Others
856,6,Kobe,Others
857,6,Kochi,Others
858,6,Krabi,Others
859,6,Kununurra,Others
860,6,Kwajalein,Others
861,6,Lappeenranta,Others
862,6,Livingstone,Others
863,6,Lome,Others
864,6,Lord Howe Island,Others
865,6,Los Mochis,Others
866,6,Mackay,Others
867,6,Madras,Others
868,6,Mardin,Others
869,6,Memanbetsu,Others
870,6,Molde,Others
871,6,Monastir,Others
872,6,Nea Anghialos,Others
873,6,Nicosia,Others
874,6,Nizhniy Novgorod,Others
875,6,Oita,Others
876,6,Oulu,Others
877,6,Perm,Others
878,6,Pohnpei,Others
879,6,Port Elizabeth,Others
880,6,Port Macquarie,Others
881,6,Port Moresby,Others
882,6,Poza Rico,Others
883,6,Rockhampton,Others
884,6,Santa Cruz,Others
885,6,Sept-iles,Others
886,6,Skelleftea,Others
887,6,St. John,Others
888,6,Stavropol,Others
889,6,Svalbard,Others
890,6,Takamatsu,Others
891,6,Toluca,Others
892,6,Trabzon,Others
893,6,Turku,Others
894,6,Tyumen,Others
895,6,Ulan Bator,Others
896,6,Umea,Others
897,6,Vaasa,Others
898,6,Van,Others
899,6,Vasteras,Others
900,6,Zacatecas,Others
901,6,Anqing,China
902,6,Bijie,China
903,6,Changde,China
904,6,Chaoyang,China
905,6,Chizhou,China
906,6,Daocheng,China
907,6,Dongying,China
908,6,Dunhuang,China
909,6,Enshi,China
910,6,Handan,China
911,6,Jiayuguan,China
912,6,Jinzhou,China
913,6,Jixi,China
914,6,Qianjiang,China
915,6,Tengchong,China
916,6,Tongren,China
917,6,Xichang,China
918,6,Xingyi,China
919,6,Yining,China
920,6,Zhaotong,China
921,6,Inverness,UK
922,6,Laage,Germany
923,6,Luebeck,Germany
924,6,Cuneo,Italy
925,6,Reggio Calabria,Italy
926,6,Dole,France
927,6,Pau,France
928,6,Rodez,France
929,6,St-Etienne,France
930,6,Tarbes,France
931,5,Barrow,US
932,5,Deadhorse,US
933,5,Juliaca,Others
934,5,Mombasa,Others
935,5,Phnom-penh,Others
936,5,Santa Clara,Others
937,4,Abilene,US
938,4,Alamosa,US
939,4,Alpena,US
940,4,Altoona,US
941,4,Aniak,US
942,4,Aspen,US
943,4,Atlantic City,US
944,4,Beaumont,US
945,4,Bismarck,US
946,4,Bradford,US
947,4,Brainerd,US
948,4,Casper,US
949,4,Cheyenne,US
950,4,Cody,US
951,4,Cordova,US
952,4,Crescent City,US
953,4,Dickinson,US
954,4,Du Bois,US
955,4,Dubuque IA,US
956,4,Duluth,US
957,4,Flagstaff,US
958,4,Florence,US
959,4,Franklin,US
960,4,Garden City,US
961,4,Grand Island,US
962,4,Hilo,US
963,4,Huntington,US
964,4,Idaho Falls,US
965,4,International Falls,US
966,4,Iron Mountain,US
967,4,Jacksn Hole,US
968,4,Jamestown,US
969,4,Johnstown,US
970,4,Joplin,US
971,4,Klamath Falls,US
972,4,Kotzebue,US
973,4,Lawton,US
974,4,Longview,US
975,4,Lynchburg,US
976,4,Mammoth Lakes,US
977,4,Mcgrath,US
978,4,Minot,US
979,4,Morgantown,US
980,4,New Haven,US
981,4,Nome,US
982,4,Petersburg,US
983,4,Pierre,US
984,4,Pullman,US
985,4,Rhinelander,US
986,4,Roswell,US
987,4,Saint George,US
988,4,San Angelo,US
989,4,Show Low,US
990,4,Sioux City,US
991,4,Texarkana,US
992,4,Toledo,US
993,4,Waco,US
994,4,Waterloo,US
995,4,Wichita Falls,US
996,4,Williamsport,US
997,4,Williston,US
998,4,Wrangell,US
999,4,Yakutat,US
1000,4,Abakan,Others
1001,4,Adiyaman,Others
1002,4,Agri,Others
1003,4,Amilcar Cabral,Others
1004,4,Arkhangelsk,Others
1005,4,Asuncion,Others
1006,4,Baie Comeau,Others
1007,4,Barnaul,Others
1008,4,Barranquilla,Others
1009,4,Batman,Others
1010,4,Batumi,Others
1011,4,Bingol,Others
1012,4,Cartagena,Others
1013,4,Castlegar,Others
1014,4,Cayenne,Others
1015,4,Charlieville,Others
1016,4,Chongju,Others
1017,4,Chuuk,Others
1018,4,Ciudad Del Carmen,Others
1019,4,Cloncurry,Others
1020,4,Cluj-napoca,Others
1021,4,Cranbrook,Others
1022,4,Cuzco,Others
1023,4,Danang,Others
1024,4,Dnepropetrovsk,Others
1025,4,Dzaoudzi,Others
1026,4,Erzincan,Others
1027,4,Essadouira,Others
1028,4,Fukue,Others
1029,4,Fukushima,Others
1030,4,Gallivare,Others
1031,4,Gaspe,Others
1032,4,Gove,Others
1033,4,Grande Prairie,Others
1034,4,Groningen,Others
