All Categories,Source Country,Source City,Source Airport,Destination Country,Destination City,Destination Airport,Airline Name,Sum of Flights
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhoushuizi Airport,Airline Name:China Southern Airlines,17
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhoushuizi Airport,Airline Name:Air China,9
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhoushuizi Airport,Airline Name:Hainan Airlines,8
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhoushuizi Airport,Airline Name:China Eastern Airlines,8
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhoushuizi Airport,Airline Name:Shenzhen Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Zhoushuizi Airport,Airline Name:All Nippon Airways,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiping Airport,Airline Name:China Southern Airlines,19
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiping Airport,Airline Name:Air China,8
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiping Airport,Airline Name:China Eastern Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiping Airport,Airline Name:Shenzhen Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiping Airport,Airline Name:Hainan Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiping Airport,Airline Name:KLM Royal Dutch Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taoxian Airport,Airline Name:China Southern Airlines,19
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taoxian Airport,Airline Name:Air China,11
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taoxian Airport,Airline Name:Shenzhen Airlines,9
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taoxian Airport,Airline Name:Hainan Airlines,5
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taoxian Airport,Airline Name:China Eastern Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taoxian Airport,Airline Name:Air France,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taoxian Airport,Airline Name:Lufthansa,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiyuan Wusu Airport,Airline Name:China Southern Airlines,15
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiyuan Wusu Airport,Airline Name:Air China,11
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiyuan Wusu Airport,Airline Name:China Eastern Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiyuan Wusu Airport,Airline Name:Hainan Airlines,6
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Taiyuan Wusu Airport,Airline Name:Shenzhen Airlines,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Yaoqiang Airport,Airline Name:Air China,19
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Yaoqiang Airport,Airline Name:China Southern Airlines,12
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Yaoqiang Airport,Airline Name:Hainan Airlines,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Yaoqiang Airport,Airline Name:Shenzhen Airlines,3
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Yaoqiang Airport,Airline Name:China Eastern Airlines,2
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longdongbao Airport,Airline Name:China Southern Airlines,15
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longdongbao Airport,Airline Name:Air China,10
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longdongbao Airport,Airline Name:Shenzhen Airlines,5
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longdongbao Airport,Airline Name:Hainan Airlines,4
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Longdongbao Airport,Airline Name:China Eastern Airlines,3
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Fuzhou Changle International Airport,Airline Name:China Southern Airlines,15
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Fuzhou Changle International Airport,Airline Name:Shenzhen Airlines,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Fuzhou Changle International Airport,Airline Name:Air China,7
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Fuzhou Changle International Airport,Airline Name:Hainan Airlines,5
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Fuzhou Changle International Airport,Airline Name:China Eastern Airlines,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination City:Baita International Airport,Airline Name:China Southern Airlines,12
