All,SourceCountry,SourceCity,SourceAirport,DestCountry,DestCity,DestAirport,AirlineName,Sum of Flights
All Countries,China,Others,Others,China,Others,Taiyuan Wusu Airport,China Eastern Airlines,7
All Countries,China,Others,Others,China,Others,Taiyuan Wusu Airport,Hainan Airlines,6
All Countries,China,Others,Others,China,Others,Taiyuan Wusu Airport,Shenzhen Airlines,4
All Countries,China,Others,Others,China,Others,Yaoqiang Airport,Air China,19
All Countries,China,Others,Others,China,Others,Yaoqiang Airport,China Southern Airlines,12
All Countries,China,Others,Others,China,Others,Yaoqiang Airport,Hainan Airlines,4
All Countries,China,Others,Others,China,Others,Yaoqiang Airport,Shenzhen Airlines,3
All Countries,China,Others,Others,China,Others,Yaoqiang Airport,China Eastern Airlines,2
All Countries,China,Others,Others,China,Others,Longdongbao Airport,China Southern Airlines,15
All Countries,China,Others,Others,China,Others,Longdongbao Airport,Air China,10
All Countries,China,Others,Others,China,Others,Longdongbao Airport,Shenzhen Airlines,5
All Countries,China,Others,Others,China,Others,Longdongbao Airport,Hainan Airlines,4
All Countries,China,Others,Others,China,Others,Longdongbao Airport,China Eastern Airlines,3
All Countries,China,Others,Others,China,Others,Fuzhou Changle International Airport,China Southern Airlines,15
All Countries,China,Others,Others,China,Others,Fuzhou Changle International Airport,Shenzhen Airlines,7
All Countries,China,Others,Others,China,Others,Fuzhou Changle International Airport,Air China,7
All Countries,China,Others,Others,China,Others,Fuzhou Changle International Airport,Hainan Airlines,5
All Countries,China,Others,Others,China,Others,Fuzhou Changle International Airport,China Eastern Airlines,1
All Countries,China,Others,Others,China,Others,Baita International Airport,China Southern Airlines,12
All Countries,China,Others,Others,China,Others,Baita International Airport,China Eastern Airlines,9
All Countries,China,Others,Others,China,Others,Baita International Airport,Air China,5
All Countries,China,Others,Others,China,Others,Baita International Airport,Shenzhen Airlines,3
All Countries,China,Others,Others,China,Others,Baita International Airport,Hainan Airlines,3
All Countries,China,Others,Others,China,Others,Tianjin Binhai International Airport,Air China,11
